DATE_OF_INTEREST,AS_OF,"Cases/day, 7 day avg",DEATH_COUNT,"Deaths/day, 7 day avg",HOSPITALIZED_CASE_COUNT,"Hospitalized/day, 7 day avg",NEW_COVID_CASE_COUNT
2020-03-25,2020-03-27 10:03:51,1943.2857142857142,68.0,44.142857142857146,108.0,440.2857142857143,1119.0
2020-03-26,2020-03-27 10:03:51,1575.4285714285713,14.0,43.42857142857143,2.0,376.0,49.0
2020-03-11,2020-03-27 18:37:24,156.0,1.0,1.0,42.0,42.0,156.0
2020-03-14,2020-03-27 18:37:24,386.5,2.0,1.5,146.0,94.0,617.0
2020-03-15,2020-03-27 18:37:24,587.0,5.0,2.6666666666666665,175.0,121.0,988.0
2020-03-16,2020-03-27 18:37:24,927.75,9.0,4.25,259.0,155.5,1950.0
2020-03-17,2020-03-27 18:37:24,1189.6,7.0,4.8,281.0,180.6,2237.0
2020-03-18,2020-03-27 18:37:24,1660.8,19.0,8.4,315.0,235.2,2512.0
2020-03-19,2020-03-27 18:37:24,1911.3333333333333,19.0,10.166666666666666,430.0,267.6666666666667,3164.0
2020-03-20,2020-03-27 18:37:24,2061.714285714286,38.0,14.142857142857142,476.0,297.42857142857144,2964.0
2020-03-21,2020-03-27 18:37:24,2220.1428571428573,31.0,18.285714285714285,410.0,335.14285714285717,1726.0
2020-03-22,2020-03-27 18:37:24,2291.714285714286,41.0,23.428571428571427,405.0,368.0,1489.0
2020-03-23,2020-03-27 18:37:24,2339.5714285714284,63.0,31.142857142857142,598.0,416.42857142857144,2285.0
2020-03-24,2020-03-27 18:37:24,2325.714285714286,64.0,39.285714285714285,590.0,460.57142857142856,2140.0
2020-03-25,2020-03-27 18:37:24,2305.0,75.0,47.285714285714285,524.0,490.42857142857144,2367.0
2020-03-26,2020-03-27 18:37:24,1986.7142857142858,54.0,52.285714285714285,95.0,442.57142857142856,936.0
2020-03-27,2020-03-27 18:37:24,1567.857142857143,20.0,49.714285714285715,2.0,374.85714285714283,32.0
2020-03-11,2020-03-31 09:25:56,156.0,1.0,1.0,50.0,50.0,156.0
2020-03-14,2020-03-31 09:25:56,389.5,2.0,1.5,156.0,103.0,623.0
2020-03-15,2020-03-31 09:25:56,594.0,5.0,2.6666666666666665,189.0,131.66666666666666,1003.0
2020-03-16,2020-03-31 09:25:56,949.5,9.0,4.25,299.0,173.5,2016.0
2020-03-17,2020-03-31 09:25:56,1220.4,7.0,4.8,330.0,204.8,2304.0
2020-03-18,2020-03-31 09:25:56,1724.6,20.0,8.6,377.0,270.2,2677.0
2020-03-19,2020-03-31 09:25:56,1997.5,22.0,10.833333333333334,501.0,308.6666666666667,3362.0
2020-03-20,2020-03-31 09:25:56,2229.5714285714284,42.0,15.285714285714286,578.0,347.14285714285717,3622.0
2020-03-21,2020-03-31 09:25:56,2442.5714285714284,32.0,19.571428571428573,523.0,399.57142857142856,2114.0
2020-03-22,2020-03-31 09:25:56,2580.8571428571427,44.0,25.142857142857142,527.0,447.85714285714283,1971.0
2020-03-23,2020-03-31 09:25:56,2713.1428571428573,73.0,34.285714285714285,695.0,504.42857142857144,2942.0
2020-03-24,2020-03-31 09:25:56,2817.714285714286,72.0,43.57142857142857,638.0,548.4285714285714,3036.0
2020-03-25,2020-03-31 09:25:56,2855.285714285714,98.0,54.714285714285715,698.0,594.2857142857143,2940.0
2020-03-26,2020-03-31 09:25:56,2804.4285714285716,121.0,68.85714285714286,702.0,623.0,3006.0
2020-03-27,2020-03-31 09:25:56,2693.5714285714284,120.0,80.0,671.0,636.2857142857143,2846.0
2020-03-28,2020-03-31 09:25:56,2636.8571428571427,122.0,92.85714285714286,423.0,622.0,1717.0
2020-03-29,2020-03-31 09:25:56,2439.5714285714284,94.0,100.0,68.0,556.4285714285714,590.0
2020-03-11,2020-03-31 17:21:32,156.0,1.0,1.0,46.0,46.0,156.0
2020-03-14,2020-03-31 17:21:32,391.0,2.0,1.5,154.0,100.0,626.0
2020-03-15,2020-03-31 17:21:32,595.3333333333334,5.0,2.6666666666666665,184.0,128.0,1004.0
2020-03-16,2020-03-31 17:21:32,952.0,9.0,4.25,286.0,167.5,2022.0
2020-03-17,2020-03-31 17:21:32,1223.8,7.0,4.8,315.0,197.0,2311.0
2020-03-18,2020-03-31 17:21:32,1738.4,20.0,8.6,354.0,258.6,2729.0
2020-03-19,2020-03-31 17:21:32,2014.1666666666667,22.0,10.833333333333334,473.0,294.3333333333333,3393.0
2020-03-20,2020-03-31 17:21:32,2246.285714285714,42.0,15.285714285714286,560.0,332.2857142857143,3639.0
2020-03-21,2020-03-31 17:21:32,2459.714285714286,32.0,19.571428571428573,509.0,383.0,2120.0
2020-03-22,2020-03-31 17:21:32,2599.4285714285716,44.0,25.142857142857142,529.0,432.2857142857143,1982.0
2020-03-23,2020-03-31 17:21:32,2735.714285714286,73.0,34.285714285714285,702.0,491.7142857142857,2976.0
2020-03-24,2020-03-31 17:21:32,2864.5714285714284,74.0,43.857142857142854,656.0,540.4285714285714,3213.0
2020-03-25,2020-03-31 17:21:32,2933.1428571428573,99.0,55.142857142857146,721.0,592.8571428571429,3209.0
2020-03-26,2020-03-31 17:21:32,2888.0,135.0,71.28571428571429,745.0,631.7142857142857,3077.0
2020-03-27,2020-03-31 17:21:32,2791.0,130.0,83.85714285714286,769.0,661.5714285714286,2960.0
